date,time,route_id,route_name,priority,road_type,temperature_c,feels_like_c,humidity_pct,wind_speed_kmh,precipitation_type,precipitation_prob_pct,road_surface_temp_c,forecast_min_temp_c,ice_risk,snow_risk,gritting_decision,salt_amount_kg,spread_rate_g_m2,route_length_km,estimated_duration_min
2024-11-28,06:00,R001,Queensferry Road,1,A-road,-0.5,-3.9,81,15,rain,70,0.2,-1.0,medium,low,gritted,680,20,17.0,43
2024-11-28,06:00,R002,Leith Walk,1,A-road,-0.3,-3.6,79,14,rain,70,0.4,-1.0,medium,low,gritted,576,20,14.4,39
2024-11-28,06:00,R006,Portobello Road,2,B-road,-0.2,-3.4,77,13,rain,70,0.5,-1.0,low,low,not_gritted,0,0,8.5,0
2024-11-29,19:30,R001,Queensferry Road,1,A-road,-1.8,-5.5,86,18,sleet,75,-2.3,-3.5,high,medium,gritted,1020,30,17.0,47
2024-11-29,19:30,R002,Leith Walk,1,A-road,-1.6,-5.2,84,17,sleet,75,-2.1,-3.5,high,medium,gritted,864,30,14.4,44
2024-11-29,19:30,R003,Morningside Road,1,B-road,-1.5,-5.0,83,16,sleet,75,-2.0,-3.5,high,medium,gritted,720,30,12.0,42
2024-11-30,04:30,R001,Queensferry Road,1,A-road,-3.0,-7.2,90,22,snow,85,-3.8,-5.0,high,high,gritted,1190,35,17.0,50
2024-11-30,04:30,R007,Ferry Road,1,A-road,-2.8,-7.0,88,21,snow,85,-3.6,-5.0,high,high,gritted,735,35,10.5,40
2024-12-01,16:00,R001,Queensferry Road,1,A-road,1.0,-1.8,72,11,none,15,2.0,0.0,low,low,not_gritted,0,0,17.0,0
2024-12-02,05:00,R001,Queensferry Road,1,A-road,-2.2,-6.0,87,19,none,40,-2.8,-3.5,high,low,gritted,850,25,17.0,46
2024-12-02,05:00,R002,Leith Walk,1,A-road,-2.0,-5.7,85,18,none,40,-2.6,-3.5,high,low,gritted,720,25,14.4,42
2024-12-03,22:00,R001,Queensferry Road,1,A-road,-1.2,-4.8,83,16,rain,80,-0.8,-2.5,high,low,gritted,850,25,17.0,45
2024-12-03,22:00,R004,Corstorphine Road,1,A-road,-1.1,-4.6,82,15,rain,80,-0.7,-2.5,high,low,gritted,746,25,14.9,43
2024-12-04,07:00,R001,Queensferry Road,1,A-road,-4.2,-8.5,91,24,snow,90,-5.2,-6.5,high,high,gritted,1360,40,17.0,52
2024-12-04,07:00,R002,Leith Walk,1,A-road,-4.0,-8.2,90,23,snow,90,-5.0,-6.5,high,high,gritted,1152,40,14.4,49
2024-12-04,07:00,R003,Morningside Road,1,B-road,-3.9,-8.0,89,22,snow,90,-4.8,-6.5,high,high,gritted,960,40,12.0,47
2024-12-04,07:00,R005,Dalkeith Road,2,B-road,-3.8,-7.8,88,21,snow,90,-4.7,-6.5,high,high,gritted,480,40,6.0,32
2024-12-05,18:30,R001,Queensferry Road,1,A-road,-0.8,-4.3,82,15,sleet,70,-0.4,-2.0,high,medium,gritted,850,25,17.0,45
2024-12-05,18:30,R002,Leith Walk,1,A-road,-0.6,-4.0,80,14,sleet,70,-0.2,-2.0,medium,medium,gritted,720,25,14.4,41
2024-12-06,11:00,R001,Queensferry Road,1,A-road,3.5,1.2,65,9,none,5,4.5,2.5,low,low,not_gritted,0,0,17.0,0
2024-12-07,04:00,R001,Queensferry Road,1,A-road,-3.2,-7.5,90,23,snow,85,-4.0,-5.5,high,high,gritted,1190,35,17.0,50
2024-12-07,04:00,R002,Leith Walk,1,A-road,-3.0,-7.2,89,22,snow,85,-3.8,-5.5,high,high,gritted,1008,35,14.4,48
2024-12-07,04:00,R004,Corstorphine Road,1,A-road,-3.1,-7.3,89,22,snow,85,-3.9,-5.5,high,high,gritted,1044,35,14.9,49
2024-12-08,20:00,R001,Queensferry Road,1,A-road,-1.5,-5.2,85,18,rain,75,-1.2,-3.0,high,low,gritted,850,25,17.0,46
2024-12-08,20:00,R003,Morningside Road,1,B-road,-1.3,-4.9,83,17,rain,75,-1.0,-3.0,high,low,gritted,600,25,12.0,40
2024-12-09,06:30,R001,Queensferry Road,1,A-road,-5.5,-10.5,93,28,snow,95,-6.8,-8.0,high,high,gritted,1360,40,17.0,56
2024-12-09,06:30,R002,Leith Walk,1,A-road,-5.3,-10.2,92,27,snow,95,-6.5,-8.0,high,high,gritted,1152,40,14.4,52
2024-12-09,06:30,R007,Ferry Road,1,A-road,-5.2,-10.0,91,26,snow,95,-6.4,-8.0,high,high,gritted,840,40,10.5,45
2024-12-10,15:00,R001,Queensferry Road,1,A-road,-1.0,-4.6,84,17,none,25,-0.5,-2.5,medium,low,gritted,680,20,17.0,44
2024-12-10,15:00,R002,Leith Walk,1,A-road,-0.8,-4.3,82,16,none,25,-0.3,-2.5,medium,low,not_gritted,0,0,14.4,0
